identifier/0/__text,identifier/1/__text,title/__text,creator/0/__text,format/0/__text,format/1/__text,extent/__text,publisher/__text,date/__text,description/0/__text,description/1/__text,isVersionOf/__text,subject/0/__text,subject/1/__text,subject/2/__text,subject/3/__text,subject/4/__text,subject/5/__text,subject/6/__text,subject/7/__text,subject/8/__text,subject/9/__text,subject/10/__text,subject/11/__text,rights/__text,subject/12/__text,creator/1/__text,subject/13/__text,subject/14/__text,creator/2/__text,creator/3/__text,creator/4/__text,description/2/__text
74891512,http://digital.nls.uk/74891512,Sweet Dundee.,"Foster, Stephen Collins, 1826-1864",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Two ballads. Sweet Dundee - first line reads: As I walk'd out one morning across the verdant/ plains. Willie we have missed you - first line reads: Oh, Willie, is it you, dear, safe, safe at home?.",Electronic reproduction of: Sweet Dundee. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Beauty,Spouses,Fathers,Children (people by age group),Families,Love,Courtships,Marriage (social construct),"Europe, United Kingdom, England (country)","Europe, United Kingdom, Scotland, Dundee, Dundee (inhabited place)",Available under Creative Commons license; Attribution,,,,,,,,
74891524,http://digital.nls.uk/74891524,Annie Laurie.,"Scott, John, Lady, 1810-1900",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,Three ballads. Annie Laurie - first line reads: Maxwelton's banks are bonnie. The golden caravan - first line reads: As I walked out one morning down by a sunny bank. John Barleycorn - first line reads: John Barleycorn is a hero bold. Annie Laurie - Anonymous: by Alicia Anne Scott..,Electronic reproduction of: Annie Laurie. 1 item ;  x  cm.,John Barleycorn (Symbolic character),Ballads (documents),Woodcuts (prints),Beauty,Love,"Europe, United Kingdom, England (country)","Europe, United Kingdom, Scotland, Dumfries and Galloway (unitary authority)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74891584,http://digital.nls.uk/74891584,Grand conversation under the rose.,William M'Call (Firm),still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Two ballads. Grand conversation under the rose - first line reads: As Mars and Minerva were viewing of some implements. Fate of young Henry. Answer to Caroline of Edinbro' town - first line reads: Young Henry, a sailor bold, as ever plough'd the main..",Electronic reproduction of: Grand conversation under the rose. 1 item ;  x  cm.,"Napoleon I, Emperor of the French, 1769-1821",Mars (Roman deity),Minerva (Roman deity),Woodcuts (prints),Ballads (documents),Sailors,Freedom,Deaths,Lovers,"Europe, United Kingdom, England, Merseyside, Liverpool urban district, Liverpool (inhabited place)","Europe, United Kingdom, England (country)","North and Central America, United States (nation)",Available under Creative Commons license; Attribution,"Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)",,,,,,,
74891752,http://digital.nls.uk/74891752,My Nannie o.,"Burns, Robert, 1759-1796",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,First line reads: Behind yon hills where Lugar flows. In one column with a woodcut above the title. Anonymous: by Robert Burns..,Electronic reproduction of: My Nannie o. 1 item ;  x  cm.,Scots,"Flemming, Agnes",Ballads (documents),Woodcuts (prints),Courtships,Love,"Europe, United Kingdom, England, Greater London, London (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,"Pitts, John, 1765-1844",,,,,,
74892019,http://digital.nls.uk/74892019,When the kye come hame.,"Hogg, James, 1770-1835",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,Two ballads. When the kye come hame - first line reads: Come all ye jolly shepherds. The brisk young lad - first line reads: There came a young man to my daddy's door. When the kye come hame - Anonymous: By James Hogg..,Electronic reproduction of: When the kye come hame. 1 item ;  x  cm.,Scots,Shepherds,Ballads (documents),Woodcuts (prints),"Europe, United Kingdom, England, Merseyside, Liverpool urban district, Liverpool (inhabited place)",,,,,,,,Available under Creative Commons license; Attribution,,,,,,,,
74892358,http://digital.nls.uk/74892358,Edinburgh convicts.,"Walker, George (Printer of North Shields)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,Two ballads. The Edinburgh convicts - first line reads: Come all young men of learning. Farewell to Scotland - first line reads: Farewell to Scotland..,Electronic reproduction of: Edinburgh convicts. 1 item ;  x  cm.,Ballads (documents),Woodcuts (prints),Convicts,Emigration,Transportation,"Europe, United Kingdom, England, Durham, Durham (inhabited place)","Europe, United Kingdom, Scotland (country)","Europe, United Kingdom, Scotland, Edinburgh, Edinburgh (inhabited place)","Oceania, Australia, New South Wales, Botany Bay (bay)",,,,Available under Creative Commons license; Attribution,,,,,,,,
74892697,http://digital.nls.uk/74892697,"Far, far upon the sea.","Walker, George (Printer of North Shields)",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Three ballads. Far, far upon the sea - first line reads: Far, far upon the sea. The old arm chair - first line reads: I love it, I love it! and who shall dare. The lass o' Gowrie - first line reads: Twas on a simmer's afternoon..","Electronic reproduction of: Far, far upon the sea. 1 item ;  x  cm.",Woodcuts (prints),Ballads (documents),Courtships,Sailors,"Europe, United Kingdom, England, Durham, Durham (inhabited place)","Europe, United Kingdom, Scotland, Perth and Kinross (unitary authority)",,,,,,,Available under Creative Commons license; Attribution,,"Nairne, Carolina Oliphant Nairne, Baroness, 1766-1845",,,,,,
74892724,http://digital.nls.uk/74892724,Banks of Inverary.,William M'Call (Firm),still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"The banks of Inverary - first line reads: Early one summer's morning, along as I did pass. The poor drunkard's child - first line reads: In taking of my walks on a cold winter's day..",Electronic reproduction of: Banks of Inverary. 1 item ;  x  cm.,Woodcuts (prints),Ballads (documents),Alcoholism,Courtships,Beauty,Lakes,Shores (landforms),"Europe, United Kingdom, England, Merseyside, Liverpool urban district, Liverpool (inhabited place)","Europe, United Kingdom, Scotland, Argyll and Bute, Inveraray (inhabited place)","Europe, United Kingdom, Scotland, Argyll and Bute, Fyne, Loch (bay)",,,Available under Creative Commons license; Attribution,,,,,,,,
74892751,http://digital.nls.uk/74892751,"Englishman, Irishman, and Scotchman.","Lloyd, Arthur, 1840-1904",still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,"Englishman, Irishman, and Scotchman - first line reads: An Englishman, an Irishman. Cruel Mary Holder - first line reads: On a most unhappy man cast your eyes on..","Electronic reproduction of: Englishman, Irishman, and Scotchman. 1 item ;  x  cm.",English,Irish,Scots,Ballads (documents),Woodcuts (prints),Courtships,Soldiers,Executions (events),Humor,"Europe, United Kingdom, England (country)","Europe, United Kingdom, Scotland, Clyde, Firth of (estuary)","Europe, United Kingdom, Scotland, Glasgow, Glasgow (inhabited place)",Available under Creative Commons license; Attribution,,,,,,,,
74892832,http://digital.nls.uk/74892832,Young Edward the gallant hussar.,,still image,JPEG,1 online resource,"National Library of Scotland,",2005.,Metadata context: metadata created as part of normal Library activities.,Two ballads. Young Edward the gallant hussar - first line reads: A Damsel possess'd of great beauty. Bonnie Prince Charlie - first line reads: Cam' ye by Athol braes lad wi' the philabeg..,Electronic reproduction of: Young Edward the gallant hussar. 1 item ;  x  cm.,Jacobites,"Charles Edward, Prince, grandson of James II, King of England, 1720-1788",Soldiers,Ballads (documents),Woodcuts (prints),Princes,"Europe, United Kingdom, England, Durham, Durham (inhabited place)",,,,,,Available under Creative Commons license; Attribution,,,,,,,,
