RLOIid,catchmentName,dateOpened,easting,gridReference,label,lat,long,measures/0/qualifier,measures/0/unitName,northing,notation,riverName,stageScale,stationReference,status,town
8276,Wharfe and Lower Ouse,11/07/2001,398476,SD9847664978,Netherside Hall,54.080705,-2.024779,Logged,m3/s,464978,F1906,River Wharfe,http://environment.data.gov.uk/flood-monitoring/id/stations/F1906/stageScale,F1906,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Netherside Hall
7267,Thames from Hurley to Teddington,01/01/1983,517700,,Kingston,51.415005,-0.308869,,m3/s,169800,3400TH,River Thames,http://environment.data.gov.uk/flood-monitoring/id/stations/3400TH/stageScale,3400TH,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Kingston Upon Thames
2114,Idle and Torne,24/07/1969,469990,,Twyford Bridge,53.26962,-0.952008,,m3/s,375250,4036,River Poulter,http://environment.data.gov.uk/flood-monitoring/id/stations/4036/stageScale,4036,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Elkesley
2165,Lower Trent and Erewash,01/12/1972,454970,,Lenton,52.948176,-1.183337,,m3/s,339290,4435,River Leen,http://environment.data.gov.uk/flood-monitoring/id/stations/4435/stageScale,4435,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Lenton
8186,"Swale, Ure, Nidd and Upper Ouse",01/05/1979,448200,,Skip Bridge,53.998678,-1.266199,,---,456100,F2102,River Nidd,http://environment.data.gov.uk/flood-monitoring/id/stations/F2102/stageScale,F2102,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Kirk Hammerton
5147,Ribble Douglas and Crossens,01/01/1972,347620,,Wanes Blades,53.607043,-2.793103,,m3/s,412570,700306,River Douglas,http://environment.data.gov.uk/flood-monitoring/id/stations/700306/stageScale,700306,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Newburgh
7110,Cherwell Thame and Wye,01/01/1991,471800,,Reading,51.461325,-0.967884,,m3/s,174100,2200TH,River Thames,http://environment.data.gov.uk/flood-monitoring/id/stations/2200TH/stageScale,2200TH,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Reading
2056,Warwickshire Avon,01/01/1988,392100,,Bredon,52.03494,-2.116566,,---,237400,2128,River Avon,http://environment.data.gov.uk/flood-monitoring/id/stations/2128/stageScale,2128,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Bredon
2137,Staffordshire Trent Valley,05/04/1982,388540,,Darlaston,52.916247,-2.171867,,m3/s,335440,4083,River Trent,http://environment.data.gov.uk/flood-monitoring/id/stations/4083/stageScale,4083,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Meaford
7218,Bournes,01/01/2005,501670,,Chertsey Bourne,51.402823,-0.539779,,m3/s,168100,2928TH,Chertsey Bourne,http://environment.data.gov.uk/flood-monitoring/id/stations/2928TH/stageScale,2928TH,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Thorpe
5152,Ribble Douglas and Crossens,01/01/1999,358620,,Wigan,53.54925,-2.625999,,m3/s,406030,700325,River Douglas,http://environment.data.gov.uk/flood-monitoring/id/stations/700325/stageScale,700325,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Wigan
2132,Soar,01/12/1978,449040,,Kegworth,52.831898,-1.273539,,m3/s,326290,4074,River Soar,http://environment.data.gov.uk/flood-monitoring/id/stations/4074/stageScale,4074,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Kegworth
2078,Severn Vale,01/12/1995,386798,,Deerhurst,51.969234,-2.193572,,m3/s,230103,2606,River Severn,http://environment.data.gov.uk/flood-monitoring/id/stations/2606/stageScale,2606,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Deerhurst
2142,Soar,01/08/1986,456510,,Pillings Lock,52.758541,-1.164067,Logged,m3/s,318210,4093,River Soar,http://environment.data.gov.uk/flood-monitoring/id/stations/4093/stageScale,4093,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Barrow Upon Soar
2164,Lower Trent and Erewash,01/09/1972,448270,,Sandiacre,52.921584,-1.283492,,m3/s,336260,4427,River Erewash,http://environment.data.gov.uk/flood-monitoring/id/stations/4427/stageScale,4427,http://environment.data.gov.uk/flood-monitoring/def/core/statusActive,Sandiacre
