age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,outcome_object/id,outcome_object/name,location/latitude,location/street/id,location/street/name,location/longitude,operation,officer_defined_ethnicity,type,operation_name,object_of_search
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-19T06:54:04+00:00,false,bu-no-further-action,A no further action disposal,52.264860,1140956,On or near Severn Road,0.699943,false,White,Person search,,Controlled drugs
18-24,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-19T06:54:04+00:00,false,bu-no-further-action,A no further action disposal,52.264860,1140956,On or near Severn Road,0.699943,false,White,Person search,,Controlled drugs
25-34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-19T06:54:04+00:00,false,bu-no-further-action,A no further action disposal,52.264860,1140956,On or near Severn Road,0.699943,false,White,Person search,,Controlled drugs
18-24,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-23T00:54:13+00:00,false,bu-no-further-action,A no further action disposal,52.244918,1140533,On or near Woolhall Street,0.711492,false,White,Person search,,Controlled drugs
25-34,Community resolution,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),true,2018-06-23T00:54:13+00:00,false,bu-community-resolution,Community resolution,52.244918,1140533,On or near Woolhall Street,0.711492,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-21T19:11:00+00:00,false,bu-no-further-action,A no further action disposal,52.246487,1140573,On or near The Broadway,0.720305,false,White,Person search,,Anything to threaten or harm anyone
18-24,Arrest,true,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Criminal Justice Act 1988 (section 139B),false,2018-06-04T15:24:00+00:00,false,bu-arrest,Arrest,52.248172,1140459,On or near St John'S Street,0.711969,false,Black,Person search,,Offensive weapons
over 34,A no further action disposal,true,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T19:21:11+00:00,false,bu-no-further-action,A no further action disposal,52.247282,1140470,On or near Risbygate Street,0.709219,false,White,Person search,,Controlled drugs
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T19:18:27+00:00,false,bu-no-further-action,A no further action disposal,52.247282,1140470,On or near Risbygate Street,0.709219,false,White,Person search,,Controlled drugs
25-34,Arrest,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),true,2018-06-02T00:40:34+00:00,false,bu-arrest,Arrest,52.246104,1140574,On or near Northgate Street,0.717044,false,White,Person search,,Offensive weapons
over 34,A no further action disposal,true,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-01T01:10:00+00:00,false,bu-no-further-action,A no further action disposal,52.244668,1140549,On or near Abbeygate Street,0.712620,false,Black,Person search,,Anything to threaten or harm anyone
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-04T00:20:45+00:00,false,bu-no-further-action,A no further action disposal,52.243051,1140540,On or near Old Convent Orchard,0.710177,false,White,Person search,,Controlled drugs
25-34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T12:44:51+00:00,false,bu-no-further-action,A no further action disposal,52.246903,1140559,On or near St Andrew'S Street North,0.711218,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T10:06:46+00:00,false,bu-no-further-action,A no further action disposal,52.249490,1140464,On or near Spring Lane,0.704299,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T09:49:33+00:00,false,bu-no-further-action,A no further action disposal,52.249490,1140464,On or near Spring Lane,0.704299,false,White,Person search,,Controlled drugs
18-24,Arrest,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),true,2018-06-01T09:00:56+00:00,true,bu-arrest,Arrest,52.246132,1140555,On or near Parking Area,0.712709,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T10:56:41+00:00,false,bu-no-further-action,A no further action disposal,52.350909,1141892,On or near St John'S Close,0.519744,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-06T22:30:00+00:00,false,bu-no-further-action,A no further action disposal,52.241247,1139966,On or near Raingate Street,0.720981,false,White,Person search,,Anything to threaten or harm anyone
25-34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-05T15:11:30+00:00,false,bu-no-further-action,A no further action disposal,52.248172,1140459,On or near St John'S Street,0.711969,false,White,Person search,,Stolen goods
18-24,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Firearms Act 1968 (section 47),false,2018-06-01T12:55:52+00:00,false,bu-no-further-action,A no further action disposal,52.246132,1140555,On or near Parking Area,0.712709,false,White,Person search,,Firearms
over 34,A no further action disposal,true,Other ethnic group - Not stated,Male,Firearms Act 1968 (section 47),false,2018-06-01T09:46:03+00:00,false,bu-no-further-action,A no further action disposal,52.249490,1140464,On or near Spring Lane,0.704299,false,White,Person search,,Firearms
18-24,A no further action disposal,true,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T09:11:32+00:00,false,bu-no-further-action,A no further action disposal,52.247557,1140467,On or near Risbygate Street,0.704269,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T10:00:07+00:00,false,bu-no-further-action,A no further action disposal,52.251629,1140476,On or near Myrtle Close,0.706715,false,Other,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T10:22:58+00:00,false,bu-no-further-action,A no further action disposal,52.251629,1140476,On or near Myrtle Close,0.706715,false,White,Person search,,Controlled drugs
18-24,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T10:15:09+00:00,false,bu-no-further-action,A no further action disposal,52.251629,1140476,On or near Myrtle Close,0.706715,false,White,Person search,,Controlled drugs
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-01T09:03:42+00:00,false,bu-no-further-action,A no further action disposal,52.246132,1140555,On or near Parking Area,0.712709,false,White,Person search,,Controlled drugs
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Firearms Act 1968 (section 47),false,2018-06-01T10:11:47+00:00,false,bu-no-further-action,A no further action disposal,52.250434,1140463,On or near Springfield Avenue,0.705865,false,White,Person search,,Firearms
25-34,Arrest,true,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-09T17:35:00+00:00,true,bu-arrest,Arrest,52.247840,1140397,On or near Westley Road,0.697825,false,Black,Person search,,Controlled drugs
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-30T15:01:00+00:00,false,bu-no-further-action,A no further action disposal,52.241247,1139966,On or near Raingate Street,0.720981,false,White,Person search,,Controlled drugs
18-24,Arrest,true,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-04T15:22:39+00:00,false,bu-arrest,Arrest,52.248172,1140459,On or near St John'S Street,0.711969,false,Black,Person search,,Offensive weapons
25-34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),false,2018-06-30T10:45:27+00:00,false,bu-no-further-action,A no further action disposal,52.264860,1140956,On or near Severn Road,0.699943,false,White,Person search,,Controlled drugs
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-05T19:08:40+00:00,false,bu-no-further-action,A no further action disposal,52.247418,1140444,On or near Prince Of Wales Close,0.697800,false,White,Person search,,Controlled drugs
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-12T11:15:36+00:00,false,bu-no-further-action,A no further action disposal,52.245431,1140554,On or near Parking Area,0.707949,false,White,Person search,,Stolen goods
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),true,2018-06-12T11:15:18+00:00,false,bu-no-further-action,A no further action disposal,52.245431,1140554,On or near Parking Area,0.707949,false,White,Person search,,Stolen goods
10-17,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),false,2018-06-04T00:20:26+00:00,false,bu-no-further-action,A no further action disposal,52.241849,1139990,On or near Thomas Lane,0.711217,false,White,Person search,,Offensive weapons
25-34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),false,2018-06-27T08:47:21+00:00,false,bu-no-further-action,A no further action disposal,52.236316,1132999,On or near Parking Area,0.736249,false,White,Person search,,Controlled drugs
25-34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-27T08:47:21+00:00,false,bu-no-further-action,A no further action disposal,52.236316,1132999,On or near Parking Area,0.736249,false,White,Person search,,Controlled drugs
over 34,Arrest,true,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-28T14:53:14+00:00,true,bu-arrest,Arrest,52.254781,1140520,On or near Petrol Station,0.716695,false,Other,Person search,,Controlled drugs
25-34,Arrest,true,Other ethnic group - Any other ethnic group,Male,Misuse of Drugs Act 1971 (section 23),false,2018-06-28T13:00:00+00:00,false,bu-arrest,Arrest,52.250267,1140497,On or near Petrol Station,0.709621,false,White,Person search,,Controlled drugs
over 34,A no further action disposal,true,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),false,2018-06-29T12:01:07+00:00,false,bu-no-further-action,A no further action disposal,52.263800,1140905,On or near Lake Avenue,0.703001,false,White,Person search,,Controlled drugs
25-34,Khat or Cannabis warning,true,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),true,2018-06-19T22:35:00+00:00,false,bu-khat-or-cannabis-warning,Khat or Cannabis warning,52.592723,992344,On or near A1122,0.391202,false,White,Person search,,Controlled drugs
