RLOIid,catchmentName,dateOpened,easting,label,lat,long,northing,notation,riverName,stationReference,limit,active
8276,Wharfe and Lower Ouse,11/07/2001,398476,Netherside Hall,54.080705,-2.024779,,F1906,River Wharfe,F1906,71,No
7267,Thames from Hurley to Teddington,01/01/1983,517700,Kingston,51.415005,-0.308869,169800,3400TH,River Thames,3400TH,281,No
2114,Idle and Torne,24/07/1969,469990,Twyford Bridge,53.26962,-0.952008,375250,4036,River Poulter,4036,554,No
2165,Lower Trent and Erewash,01/12/1972,454970,Lenton,52.948176,-1.183337,339290,4435,River Leen,4435,673,No
8186,"Swale, Ure, Nidd and Upper Ouse",01/05/1979,448200,Skip Bridge,53.998678,-1.266199,456100,F2102,River Nidd,F2102,836,Yes
5147,Ribble Douglas and Crossens,01/01/1972,347620,Wanes Blades,53.607043,-2.793103,412570,700306,River Douglas,700306,158,No
7110,Cherwell Thame and Wye,01/01/1991,471800,Reading,51.461325,-0.967884,174100,2200TH,River Thames,2200TH,1360,No
2056,Warwickshire Avon,01/01/1988,392100,Bredon,52.03494,-2.116566,237400,2128,River Avon,2128,155,No
2137,Staffordshire Trent Valley,05/04/1982,388540,Darlaston,52.916247,-2.171867,335440,4083,River Trent,4083,1196,No
7218,Bournes,01/01/2005,501670,Chertsey Bourne,51.402823,-0.539779,168100,2928TH,Chertsey Bourne,2928TH,467,Yes
5152,Ribble Douglas and Crossens,01/01/1999,358620,Wigan,53.54925,-2.625999,406030,700325,River Douglas,700325,653,No
2132,Soar,01/12/1978,449040,Kegworth,52.831898,-1.273539,326290,4074,River Soar,4074,1216,No
2078,Severn Vale,01/12/1995,386798,Deerhurst,51.969234,-2.193572,230103,2606,River Severn,2606,1050,No
2142,Soar,01/08/1986,456510,Pillings Lock,52.758541,-1.164067,318210,4093,River Soar,4093,881,No
2164,Lower Trent and Erewash,01/09/1972,448270,Sandiacre,52.921584,-1.283492,336260,4427,River Erewash,4427,511,Yes
7095,Cherwell Thame and Wye,01/01/1988,461190,Wheatley,51.740637,-1.115198,205030,1980TH,River Thame,1980TH,109,Yes
5008,Upper Mersey,01/06/1976,377240,Ashton Weir,53.438308,-2.344072,393560,692726,River Mersey,692726,321,Yes
7084,Vale of White Horse,01/01/1983,451700,Sutton Courtenay,51.647821,-1.254167,194600,1800TH,River Thames,1800TH,959,No
