age,outcome,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,outcome_object/id,outcome_object/name,location/latitude,location/street/name,location/longitude,officer_defined_ethnicity,object_of_search,interaction_id,officers_present
29,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-19T06:54:04+00:00,bu-no-further-action,A no further action disposal,52.26486,,0.699943,White,Controlled drugs,880,5
18,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-19T06:54:04+00:00,bu-no-further-action,A no further action disposal,52.26486,On or near Severn Road,0.699943,White,Controlled drugs,881,2
29,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-19T06:54:04+00:00,bu-no-further-action,A no further action disposal,52.26486,On or near Severn Road,0.699943,White,Controlled drugs,882,3
26,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-23T00:54:13+00:00,bu-no-further-action,A no further action disposal,52.244918,On or near Woolhall Street,0.711492,White,Controlled drugs,883,5
34,Community resolution,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2018-06-23T00:54:13+00:00,bu-community-resolution,Community resolution,52.244918,On or near Woolhall Street,0.711492,White,Controlled drugs,884,3
37,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-21T19:11:00+00:00,bu-no-further-action,A no further action disposal,52.246487,On or near The Broadway,0.720305,White,Anything to threaten or harm anyone,885,1
18,Arrest,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Criminal Justice Act 1988 (section 139B),FALSE,2018-06-04T15:24:00+00:00,bu-arrest,Arrest,52.248172,On or near St John'S Street,0.711969,Black,Offensive weapons,886,2
20,A no further action disposal,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T19:21:11+00:00,bu-no-further-action,A no further action disposal,52.247282,On or near Risbygate Street,0.709219,White,Controlled drugs,887,5
24,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T19:18:27+00:00,bu-no-further-action,A no further action disposal,52.247282,On or near Risbygate Street,0.709219,White,Controlled drugs,888,3
39,Arrest,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2018-06-02T00:40:34+00:00,bu-arrest,Arrest,52.246104,On or near Northgate Street,0.717044,White,Offensive weapons,889,3
28,A no further action disposal,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-01T01:10:00+00:00,bu-no-further-action,A no further action disposal,52.244668,On or near Abbeygate Street,0.71262,Black,Anything to threaten or harm anyone,890,5
37,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-04T00:20:45+00:00,bu-no-further-action,A no further action disposal,52.243051,On or near Old Convent Orchard,0.710177,White,Controlled drugs,891,5
38,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T12:44:51+00:00,bu-no-further-action,A no further action disposal,52.246903,On or near St Andrew'S Street North,0.711218,White,Controlled drugs,892,2
18,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T10:06:46+00:00,bu-no-further-action,A no further action disposal,52.24949,On or near Spring Lane,0.704299,White,Controlled drugs,893,1
20,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T09:49:33+00:00,bu-no-further-action,A no further action disposal,52.24949,On or near Spring Lane,0.704299,White,Controlled drugs,894,3
36,Arrest,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2018-06-01T09:00:56+00:00,bu-arrest,Arrest,52.246132,On or near Parking Area,0.712709,White,Controlled drugs,895,5
32,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T10:56:41+00:00,bu-no-further-action,A no further action disposal,52.350909,On or near St John'S Close,0.519744,White,Controlled drugs,896,1
26,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-06T22:30:00+00:00,bu-no-further-action,A no further action disposal,52.241247,On or near Raingate Street,0.720981,White,Anything to threaten or harm anyone,897,1
23,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-05T15:11:30+00:00,bu-no-further-action,A no further action disposal,52.248172,On or near St John'S Street,0.711969,White,Stolen goods,898,3
38,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Firearms Act 1968 (section 47),FALSE,2018-06-01T12:55:52+00:00,bu-no-further-action,A no further action disposal,52.246132,On or near Parking Area,0.712709,White,Firearms,899,3
26,A no further action disposal,Other ethnic group - Not stated,Male,Firearms Act 1968 (section 47),FALSE,2018-06-01T09:46:03+00:00,bu-no-further-action,A no further action disposal,52.24949,On or near Spring Lane,0.704299,White,Firearms,900,2
35,A no further action disposal,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T09:11:32+00:00,bu-no-further-action,A no further action disposal,52.247557,On or near Risbygate Street,0.704269,White,Controlled drugs,901,3
18,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T10:00:07+00:00,bu-no-further-action,A no further action disposal,52.251629,On or near Myrtle Close,0.706715,Other,Controlled drugs,902,4
24,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T10:22:58+00:00,bu-no-further-action,A no further action disposal,52.251629,On or near Myrtle Close,0.706715,White,Controlled drugs,903,1
32,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T10:15:09+00:00,bu-no-further-action,A no further action disposal,52.251629,On or near Myrtle Close,0.706715,White,Controlled drugs,904,4
19,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-01T09:03:42+00:00,bu-no-further-action,A no further action disposal,52.246132,On or near Parking Area,0.712709,White,Controlled drugs,905,2
34,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Firearms Act 1968 (section 47),FALSE,2018-06-01T10:11:47+00:00,bu-no-further-action,A no further action disposal,52.250434,On or near Springfield Avenue,0.705865,White,Firearms,906,5
39,Arrest,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-09T17:35:00+00:00,bu-arrest,Arrest,52.24784,On or near Westley Road,0.697825,Black,Controlled drugs,907,3
31,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-30T15:01:00+00:00,bu-no-further-action,A no further action disposal,52.241247,On or near Raingate Street,0.720981,White,Controlled drugs,908,5
23,Arrest,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-04T15:22:39+00:00,bu-arrest,Arrest,52.248172,On or near St John'S Street,0.711969,Black,Offensive weapons,909,5
36,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-30T10:45:27+00:00,bu-no-further-action,A no further action disposal,52.26486,On or near Severn Road,0.699943,White,Controlled drugs,910,4
39,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2018-06-05T19:08:40+00:00,bu-no-further-action,A no further action disposal,52.247418,On or near Prince Of Wales Close,0.6978,White,Controlled drugs,911,5
40,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-12T11:15:36+00:00,bu-no-further-action,A no further action disposal,52.245431,On or near Parking Area,0.707949,White,Stolen goods,912,2
37,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),TRUE,2018-06-12T11:15:18+00:00,bu-no-further-action,A no further action disposal,52.245431,On or near Parking Area,0.707949,White,Stolen goods,913,2
30,A no further action disposal,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2018-06-04T00:20:26+00:00,bu-no-further-action,A no further action disposal,52.241849,On or near Thomas Lane,0.711217,White,Offensive weapons,914,5
